{ x = 893.24, y = -540.58, z = 58.51, h = 122.0 },
{ x = 850.17, y = -532.65, z = 57.93, h = 264.0 },
{ x = 861.49, y = -508.91, z = 57.72, h = 225.0 },
{ x = 878.35, y = -497.97, z = 58.09, h = 227.0 },
{ x = 906.33, y = -489.34, z = 59.44, h = 202.0 },
{ x = 921.85, y = -477.81, z = 61.08, h = 203.0 },
{ x = 944.53, y = -463.15, z = 61.55, h = 126.0 },
{ x = 967.1, y = -451.61, z = 62.79, h = 223.0 },
{ x = 987.34, y = -432.98, z = 64.05, h = 220.0 },
{ x = 1010.39, y = -423.41, z = 65.35, h = 307.0 },
{ x = 1028.76, y = -408.29, z = 66.34, h = 221.0 },
{ x = 1060.33, y = -378.24, z = 68.23, h = 219.0 },
{ x = 844.12, y = -562.53, z = 57.99, h = 189.0 },
{ x = 861.72, y = -583.65, z = 58.16, h = 359.0 },
{ x = 886.87, y = -608.3, z = 58.45, h = 313.0 },
{ x = 902.89, y = -615.54, z = 58.45, h = 233.0 },
{ x = 928.84, y = -639.86, z = 58.24, h = 315.0 },
{ x = 943.24, y = -653.31, z = 58.63, h = 222.0 },
{ x = 959.9, y = -669.94, z = 58.45, h = 301.0 },
{ x = 970.95, y = -701.54, z = 58.48, h = 354.0 },
{ x = 979.03, y = -716.22, z = 58.22, h = 311.0 },
{ x = 996.85, y = -729.68, z = 57.82, h = 307.0 },
{ x = 980.24, y = -627.75, z = 59.24, h = 35.0 },
{ x = 964.37, y = -596.25, z = 59.9, h = 79.0 },
{ x = 919.76, y = -569.5, z = 58.37, h = 196.0 },
{ x = 965.15, y = -541.88, z = 59.73, h = 210.0 },
{ x = 976.77, y = -580.6, z = 59.85, h = 29.0 },
{ x = 987.77, y = -525.8, z = 60.69, h = 211.0 },
{ x = 1006.55, y = -510.89, z = 60.99, h = 120.0 },
{ x = 1009.57, y = -572.46, z = 60.59, h = 261.0 },
{ x = 999.56, y = -593.79, z = 59.64, h = 262.0 },
{ x = 1046.24, y = -498.14, z = 64.28, h = 351.0 },
{ x = 1050.98, y = -470.38, z = 64.3, h = 249.0 },
{ x = 1090.51, y = -484.31, z = 65.66, h = 79.0 },
{ x = 1098.65, y = -464.46, z = 67.32, h = 164.0 },
{ x = 1056.12, y = -449.0, z = 66.26, h = 347.0 },
{ x = 1100.04, y = -450.78, z = 67.79, h = 81.0 },
{ x = 1099.41, y = -438.73, z = 67.79, h = 352.0 },
{ x = 1101.16, y = -411.38, z = 67.56, h = 86.0 },
{ x = 1114.43, y = -391.3, z = 68.95, h = 60.0 },
{ x = 1204.89, y = -557.76, z = 69.62, h = 88.0 },
{ x = 1200.9, y = -575.47, z = 69.14, h = 136.0 },
{ x = 1203.59, y = -598.37, z = 68.06, h = 178.0 },
{ x = 1207.44, y = -620.18, z = 66.44, h = 93.0 },
{ x = 1221.46, y = -669.3, z = 63.69, h = 10.0 },
{ x = 1220.73, y = -689.38, z = 61.1, h = 12.0 },
{ x = 1229.66, y = -725.42, z = 60.96, h = 94.0 },
{ x = 1264.66, y = -702.78, z = 64.91, h = 237.0 },
{ x = 1271.0, y = -683.63, z = 66.03, h = 10.0 },
{ x = 1265.65, y = -648.65, z = 68.12, h = 25.0 },
{ x = 1250.91, y = -620.82, z = 69.57, h = 208.0 },
{ x = 1240.61, y = -601.64, z = 69.78, h = 273.0 },
{ x = 1241.45, y = -566.44, z = 69.66, h = 317.0 },
{ x = 1250.81, y = -515.43, z = 69.35, h = 257.0 },
{ x = 1251.43, y = -494.1, z = 69.91, h = 259.0 },
{ x = 1259.52, y = -480.25, z = 70.19, h = 304.0 },
{ x = 1265.65, y = -458.13, z = 70.52, h = 273.0 },
{ x = 1262.38, y = -429.94, z = 70.01, h = 297.0 },
{ x = 1303.28, y = -527.41, z = 71.46, h = 158.0 },
{ x = 1328.69, y = -535.93, z = 72.44, h = 69.0 },
{ x = 1348.37, y = -546.69, z = 73.89, h = 160.0 },
{ x = 1373.34, y = -555.71, z = 74.69, h = 71.0 },
{ x = 1389.11, y = -569.5, z = 74.5, h = 113.0 },
{ x = 1386.33, y = -593.44, z = 74.49, h = 55.0 },
{ x = 1367.26, y = -606.66, z = 74.71, h = 3.0 },
{ x = 1341.23, y = -597.36, z = 74.7, h = 232.0 },
{ x = 1323.43, y = -583.18, z = 73.25, h = 338.0 },
{ x = 1301.04, y = -574.34, z = 71.73, h = 344.0 },
